expert_id,Predictor Name,final_val_loss,training_time_minutes,test_mse,test_mae,test_r2
1,PM2.5,0.001078128,11.21,0.000753737,0.021770759,0.9823421088610371
1,PM10,0.003756481,6.26,0.001914677,0.030104435980319977,0.9551446497840179
3,NO2,0.004654339,7.57,0.00199562,0.030661572,0.8976161934672259
4,SO2,0.003313655,24.63,0.002061406,0.023411160334944725,0.9306772288836737
5,CO,0.004493159,5.66,0.001823588,0.035261522978544235,0.9159456091415975
6,O3,0.001849998,16.39,0.00183811,0.032684695,0.9709127428059883
7,AOD,0.002548194,5.7,0.001605586,0.025900641456246376,0.9623857626242454
8,PM2.5,0.003294314,9.52,0.001466769,0.024667460471391678,0.9656378257993411
8,PM10,0.012207043,10.8,0.005552237,0.038112707,0.8699270919490164
10,NO2,0.001551703,9.71,0.000909706,0.02157101,0.9533282168611933
11,SO2,0.059238284826278687,1.95,0.022998901084065437,0.092281587,0.22657288642218854
12,CO,0.000360601,4.87,0.000110114,0.008090197,0.9949245252093005
13,O3,0.000815526,10.23,0.000238591,0.012573918,0.996
14,AOD,0.008798504,8.47,0.004409655,0.046950955,0.8966944979768933
15,PM2.5,0.003809768,6.71,0.002012584,0.029560623690485954,0.9528509624895768
16,PM10,0.003454974,13.28,0.002152147,0.030952122062444687,0.9495814062199583
17,NO2,0.000802796,17.23,0.000395272,0.015170430764555931,0.9797208491350968
18,SO2,0.006300843,8.55,0.00221173,0.030887873843312263,0.9256220128613757
19,CO,0.000855549,7.56,0.000563406,0.013875423930585384,0.9740309880293416
20,O3,0.001158056,25.71,0.001180423,0.02145475,0.9813203366643765
21,AOD,0.000530727,41.7,0.000381174,0.015156743116676807,0.9910701959577537
